"","day_n_sc","day_p_sc","day","value"
"1",1.4558,1.094875,2016-02-17,16453.83
"2",1.400075,1.047575,2016-02-18,16413.43
"3",1.48055,1.367925,2016-02-19,16391.99
"4",1.3137,1.1369,2016-02-20,16411.885
"5",1.394,1.080025,2016-02-21,16448.4375
"6",1.39615,1.1168,2016-02-22,16620.66
"7",1.3964,1.1445,2016-02-23,16431.78
"8",1.3557,1.116275,2016-02-24,16484.99
"9",1.325025,1.1013,2016-02-25,16697.29
"10",1.32565,1.094425,2016-02-26,16639.97
"11",1.3656,1.092275,2016-02-27,16752.525
"12",1.4348,1.091,2016-02-28,16825.9225
"13",1.2772,1.18375,2016-02-29,16516.5
"14",1.39115,1.14645,2016-03-01,16865.08
"15",1.34325,1.06305,2016-03-02,16899.32
"16",1.41395,1.15095,2016-03-03,16943.9
"17",1.32905,1.1771,2016-03-04,17006.77
"18",1.40615,1.09845,2016-03-05,16985.435
"19",1.4675,1.1511,2016-03-06,16992.8975
"20",1.3336,1.1142,2016-03-07,17073.95
"21",1.4163,1.2285,2016-03-08,16964.1
"22",1.3614,1.08155,2016-03-09,17000.36
"23",1.39485,1.12215,2016-03-10,16995.13
"24",1.39455,1.1523,2016-03-11,17213.31
"25",1.3718,1.09495,2016-03-12,17232.42
"26",1.05645,0.88835,2016-03-13,17279.09
"27",1.3872,1.1317,2016-03-14,17229.13
"28",1.52905,1.1326,2016-03-15,17251.53
"29",1.3501,1.14355,2016-03-16,17325.76
"30",1.4641,1.1596,2016-03-17,17481.49
"31",1.5127,1.12165,2016-03-18,17602.3
"32",1.4203,1.2273,2016-03-19,17592.435
"33",1.4327,1.0911,2016-03-20,17547.5125
"34",1.4341,1.11555,2016-03-21,17623.87
"35",1.4899,1.14685,2016-03-22,17582.57
"36",1.40355,1.21005,2016-03-23,17502.59
"37",1.35575,1.17125,2016-03-24,17515.73
"38",1.29745,1.14675,2016-03-25,17525.56
"39",1.3948,1.1255,2016-03-26,17579.335
"40",1.4338,1.10395,2016-03-27,17647.9975
"41",1.4198,1.0984,2016-03-28,17535.39
"42",1.4247,1.1683,2016-03-29,17633.11
"43",1.336,1.15005,2016-03-30,17716.66
"44",1.39175,1.0772,2016-03-31,17685.09
"45",1.44315,1.12555,2016-04-01,17792.75
