pos;neg;neut;tweets;Date
0.1818182;0.6818182;0.1363636;44;17/02/2016
0.36;0.36;0.28;25;18/02/2016
0.3636364;0.4242424;0.2121212;33;19/02/2016
0.28571429;0.65306122;0.06122449;49;20/02/2016
0.14285714;0.79591837;0.06122449;49;21/02/2016
0.3333333;0.5555556;0.1111111;45;22/02/2016
0.18181818;0.72727273;0.09090909;33;23/02/2016
0.2631579;0.3684211;0.3684211;19;24/02/2016
0.3448276;0.4827586;0.1724138;29;25/02/2016
0.2777778;0.3611111;0.3611111;36;26/02/2016
0.5;0.3076923;0.1923077;26;27/02/2016
0.3333333;0.4444444;0.2222222;9;28/02/2016
0.6666667;0.2222222;0.1111111;9;29/02/2016
0.5238095;0.3809524;0.0952381;21;01/03/2016
0.2222222;0.3333333;0.4444444;9;02/03/2016
0.5;0.1666667;0.3333333;12;03/03/2016
0.5;0.1;0.4;10;04/03/2016
0.4666667;0.2;0.3333333;15;05/03/2016
0.375;0.0625;0.5625;16;06/03/2016
0.1764706;0.1176471;0.7058824;17;07/03/2016
0.2142857;0.4285714;0.3571429;14;08/03/2016
0.2857143;0.5714286;0.1428571;7;09/03/2016
0.4;0.4;0.2;5;10/03/2016
0.375;0.5;0.125;8;11/03/2016
0.2666667;0.6;0.1333333;15;12/03/2016
0.6;0.2;0.2;5;13/03/2016
0.5714286;0.4285714;0;7;14/03/2016
0.375;0.375;0.25;16;15/03/2016
0.1666667;0.6666667;0.1666667;6;16/03/2016
0;0.6666667;0.3333333;9;17/03/2016
0.4;0.2;0.4;5;18/03/2016
0.2222222;0.7777778;0;9;19/03/2016
0.25;0.75;0;4;20/03/2016
0.1842105;0.2894737;0.5263158;38;21/03/2016
0.3;0.6;0.1;10;22/03/2016
0.08219178;0.89041096;0.02739726;73;23/03/2016
0.25;0.5625;0.1875;16;24/03/2016
0.2307692;0.5384615;0.2307692;13;25/03/2016
0.3333333;0.6666667;0;6;26/03/2016
0.46153846;0.46153846;0.07692308;13;27/03/2016
0.16666667;0.77777778;0.05555556;36;28/03/2016
0.5714286;0.4285714;0;7;29/03/2016
0.25;0.25;0.5;8;30/03/2016
0.2727273;0.4545455;0.2727273;11;31/03/2016
0.2142857;0.5;0.2857143;14;01/04/2016
0.5;0.375;0.125;8;02/04/2016
0.4;0.2;0.4;5;03/04/2016
0.2857143;0.2857143;0.4285714;7;04/04/2016
0.1818182;0.5454545;0.2727273;11;05/04/2016
0.1666667;0.6666667;0.1666667;6;06/04/2016
0.1538462;0.4615385;0.3846154;13;07/04/2016
0.4;0.2;0.4;20;08/04/2016
0.3333333;0.5;0.1666667;12;09/04/2016
0.3333333;0.1666667;0.5;6;10/04/2016
0.1428571;0.2857143;0.5714286;7;11/04/2016
0.3333333;0.3333333;0.3333333;3;12/04/2016
0;0.8;0.2;5;13/04/2016
0.5;0.5;0;2;14/04/2016
0.5;0.1666667;0.3333333;6;15/04/2016
