day;positive;negative;neutral;Date
1;0.303575;0.4488;0.247625;17/02/2016
2;0.307075;0.444325;0.2486;18/02/2016
3;0.342925;0.4031;0.253975;19/02/2016
4;0.35075;0.3884;0.26085;20/02/2016
5;0.3221;0.429575;0.248325;21/02/2016
6;0.321475;0.436225;0.2423;22/02/2016
7;0.331125;0.414325;0.25455;23/02/2016
8;0.319675;0.400025;0.2803;24/02/2016
9;0.343875;0.404;0.252125;25/02/2016
10;0.33035;0.41605;0.2536;26/02/2016
11;0.324875;0.41745;0.257675;27/02/2016
12;0.31295;0.4427;0.24435;28/02/2016
13;0.35625;0.40415;0.2396;29/02/2016
14;0.33475;0.41215;0.2531;01/03/2016
15;0.31535;0.41315;0.2715;02/03/2016
16;0.3295;0.42635;0.24415;03/03/2016
17;0.34325;0.4014;0.25535;04/03/2016
18;0.3037;0.41795;0.27835;05/03/2016
19;0.31035;0.4354;0.25425;06/03/2016
20;0.33985;0.3986;0.26155;07/03/2016
21;0.3524;0.40715;0.24045;08/03/2016
22;0.31415;0.41365;0.2722;09/03/2016
23;0.32185;0.4242;0.25395;10/03/2016
24;0.3198;0.4067;0.2735;11/03/2016
25;0.30975;0.40415;0.2861;12/03/2016
26;0.3301618;0.3736137;0.2962245;13/03/2016
27;0.32795;0.41055;0.2615;14/03/2016
28;0.30595;0.4359;0.25815;15/03/2016
29;0.32815;0.42775;0.2441;16/03/2016
30;0.32385;0.427;0.24915;17/03/2016
31;0.31875;0.44075;0.2405;18/03/2016
32;0.3497;0.4084;0.2419;19/03/2016
33;0.30745;0.45155;0.241;20/03/2016
34;0.32555;0.4356;0.23885;21/03/2016
35;0.31505;0.43445;0.2505;22/03/2016
36;0.32775;0.40805;0.2642;23/03/2016
37;0.36145;0.3893;0.24925;24/03/2016
38;0.357;0.3939;0.2491;25/03/2016
39;0.31475;0.41715;0.2681;26/03/2016
40;0.31565;0.4386;0.24575;27/03/2016
41;0.3241;0.4387;0.2372;28/03/2016
42;0.3363;0.43185;0.23185;29/03/2016
43;0.38045;0.39275;0.2268;30/03/2016
44;0.3128;0.42585;0.26135;31/03/2016
45;0.3163;0.4381;0.2456;01/04/2016
46;0.3868;0.39265;0.22055;02/04/2016
47;0.3713;0.4102;0.2185;03/04/2016
48;0.30075;0.46825;0.231;04/04/2016
49;0.2966;0.46015;0.24325;05/04/2016
50;0.3249;0.4173;0.2578;06/04/2016
51;0.33035;0.41335;0.2563;07/04/2016
52;0.3122;0.4122;0.2756;08/04/2016
53;0.3217;0.43345;0.24485;09/04/2016
54;0.3221;0.4289;0.249;10/04/2016
55;0.3371;0.408;0.2549;11/04/2016
56;0.31205;0.43935;0.2486;12/04/2016
57;0.3429;0.41735;0.23975;13/04/2016
58;0.33195;0.41965;0.2484;14/04/2016
59;0.3413;0.4111;0.2476;15/04/2016
